	MC: BLCA	MC: BRCA	MC: CESC	MC: COAD	MC: ESCA	MC: HNSC	MC: KIRC	MC: KIRP	MC: LIHC	MC: LUAD	MC: LUSC	MC: PRAD	MC: READ	MC: STAD	MC: THCA	MC: UCEC	MS: BLCA	MS: BRCA	MS: CESC	MS: COAD	MS: ESCA	MS: HNSC	MS: KIRC	MS: KIRP	MS: LIHC	MS: LUAD	MS: LUSC	MS: PRAD	MS: READ	MS: STAD	MS: THCA	MS: UCEC
RYR1	44.0	27.0	22.0	83.0	8.0	29.0	9.0	7.0	24.0	108.0	82.0	15.0	19.0	68.0	5.0	254.0	40.0	27.0	16.0	66.0	7.0	29.0	8.0	7.0	22.0	87.0	73.0	12.0	15.0	53.0	5.0	94.0
DNAH11	42.0	34.0	20.0	114.0	13.0	37.0	6.0	4.0	7.0	57.0	65.0	5.0	37.0	67.0	0.0	241.0	40.0	31.0	14.0	69.0	12.0	31.0	6.0	4.0	7.0	49.0	60.0	4.0	18.0	55.0	0.0	82.0
AHNAK	56.0	38.0	19.0	58.0	7.0	62.0	8.0	6.0	15.0	64.0	61.0	8.0	16.0	43.0	1.0	207.0	39.0	27.0	18.0	39.0	5.0	45.0	8.0	6.0	13.0	61.0	54.0	6.0	8.0	39.0	1.0	87.0
RYR3	46.0	41.0	24.0	109.0	18.0	32.0	9.0	6.0	21.0	110.0	124.0	14.0	28.0	71.0	0.0	290.0	39.0	37.0	19.0	71.0	17.0	30.0	8.0	6.0	20.0	87.0	92.0	10.0	11.0	53.0	0.0	92.0
UBR4	42.0	27.0	21.0	45.0	7.0	18.0	8.0	9.0	10.0	42.0	28.0	4.0	10.0	45.0	1.0	171.0	39.0	24.0	20.0	35.0	7.0	15.0	8.0	9.0	10.0	40.0	24.0	4.0	4.0	33.0	1.0	86.0
ERBB3	43.0	21.0	15.0	25.0	2.0	13.0	1.0	1.0	5.0	11.0	7.0	5.0	6.0	46.0	1.0	66.0	38.0	19.0	14.0	22.0	2.0	13.0	1.0	1.0	5.0	11.0	7.0	4.0	6.0	40.0	1.0	50.0
FREM2	41.0	21.0	15.0	57.0	10.0	22.0	10.0	6.0	20.0	27.0	33.0	10.0	20.0	38.0	0.0	115.0	38.0	19.0	13.0	42.0	10.0	20.0	10.0	6.0	20.0	27.0	31.0	7.0	13.0	34.0	0.0	61.0
DNAH7	40.0	27.0	18.0	70.0	8.0	29.0	9.0	2.0	25.0	63.0	87.0	2.0	20.0	73.0	1.0	279.0	38.0	23.0	13.0	44.0	8.0	27.0	8.0	2.0	23.0	56.0	72.0	2.0	15.0	58.0	1.0	102.0
MKI67	48.0	20.0	26.0	42.0	6.0	22.0	6.0	5.0	11.0	32.0	37.0	4.0	16.0	44.0	2.0	205.0	37.0	16.0	21.0	34.0	5.0	21.0	6.0	5.0	11.0	29.0	33.0	4.0	9.0	34.0	2.0	88.0
SACS	41.0	33.0	17.0	92.0	18.0	19.0	7.0	5.0	11.0	43.0	45.0	11.0	47.0	90.0	3.0	277.0	37.0	22.0	14.0	53.0	18.0	19.0	6.0	5.0	11.0	41.0	41.0	8.0	18.0	65.0	3.0	87.0
